0.88,983.7609739303589,20
0.881,983.7050595283508,21
0.878,985.7632312774658,22
0.876,983.1943769454956,23
0.874,984.0667638778687,24
0.874,983.1683807373047,25
0.87,984.3708980083466,26
0.872,982.9865341186523,27
0.87,984.3898394107819,28
0.869,983.6685843467712,29
0.868,983.930178642273,30
0.867,982.224093914032,31
0.863,984.5892720222473,32
0.863,987.8144879341125,33
0.866,985.4554970264435,34
0.864,985.9813995361328,35
0.865,981.7409102916718,36
0.861,984.4253363609314,37
0.864,982.0382182598114,38
0.863,983.6513571739197,39
0.859,982.5974094867706,40
0.857,982.7949550151825,41
0.859,983.0927486419678,42
0.857,982.231785774231,43
0.855,980.9470543861389,44
0.855,982.7600605487823,45
0.852,984.3242678642273,46
0.851,985.0632240772247,47
0.848,1300.4057564735413,48
0.847,2478.399757862091,49
0.891,2354.9069969654083,10
0.895,2519.691717147827,11
0.899,2496.361848115921,12
0.897,2548.769698381424,13
0.893,2522.826231241226,14
0.888,2522.107701778412,15
0.883,2512.0962941646576,16
0.882,2408.6226439476013,17
0.879,2480.522217988968,18
0.881,2521.0257861614227,19
